,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open
13196,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,199 TAPSCOTT STREET,199.0,TAPSCOTT STREET,199 TAPSCOTT STREET,17216077,234846,316270.0,3,199,199,209,TAPSCOTT STREET,C,2024-08-23,2024-08-25,09/26/2024,09/21/2024,,,,568.0,9306768.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-08-26,47.0,NOTICE OF ISSUANCE SENT TO TENANT,2024-08-26,Original,Open,N,2024,2024.0,2025-10-06,406.0
13211,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,199 TAPSCOTT STREET,199.0,TAPSCOTT STREET,199 TAPSCOTT STREET,17216078,234846,316270.0,3,199,199,209,TAPSCOTT STREET,C,2024-08-23,2024-08-25,09/26/2024,09/21/2024,,,,569.0,9306768.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-08-26,47.0,NOTICE OF ISSUANCE SENT TO TENANT,2024-08-26,Original,Open,N,2024,2024.0,2025-10-06,406.0
13321,UNION AVENUE-EAST 166TH STREET,BRONX,120,11/28/23,811 EAST 167 STREET,811.0,EAST 167 STREET,811 EAST 167 STREET,17250423,116399,228811.0,2,811,811,819,EAST 167 STREET,C,2024-09-06,2024-09-06,09/22/2024,09/15/2024,,,,526.0,9325875.0,"§ 27-2005, 2007 ADM CODE REMOVE THE ILLEGAL FASTENING CONSISTING OF MAGNETIC LOCKING DEVICE INSTALLED ON 1ST DOOR LEADING FROM STREET (BUILDING ENTRANCE DOOR) AT PUBLIC HALL, 1st STORY",2024-09-09,2.0,NOV SENT OUT,2024-09-09,Original,Open,Y,2024,2024.0,2025-10-06,392.0
13322,UNION AVENUE-EAST 166TH STREET,BRONX,120,11/28/23,811 EAST 167 STREET,811.0,EAST 167 STREET,811 EAST 167 STREET,17250420,116399,228811.0,2,811,811,819,EAST 167 STREET,A,2024-09-06,2024-09-06,12/27/2024,12/13/2024,,,,722.0,9325873.0,"§ 27-2053 ADM CODE POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER. AT PUBLIC HALL, 1st STORY",2024-09-09,2.0,NOV SENT OUT,2024-09-09,Original,Open,N,2024,2024.0,2025-10-06,392.0
13323,UNION AVENUE-EAST 166TH STREET,BRONX,120,11/28/23,811 EAST 167 STREET,811.0,EAST 167 STREET,811 EAST 167 STREET,17250421,116399,228811.0,2,811,811,819,EAST 167 STREET,A,2024-09-06,2024-09-06,12/27/2024,12/13/2024,,,,500.0,9325873.0,"§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",2024-09-09,2.0,NOV SENT OUT,2024-09-09,Original,Open,N,2024,2024.0,2025-10-06,392.0
13324,UNION AVENUE-EAST 166TH STREET,BRONX,120,11/28/23,811 EAST 167 STREET,811.0,EAST 167 STREET,811 EAST 167 STREET,17250422,116399,228811.0,2,811,811,819,EAST 167 STREET,A,2024-09-06,2024-09-06,12/27/2024,12/13/2024,,,,484.0,9325873.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR FRAME MISSING AT PUBLIC HALL, 1st STORY",2024-09-09,2.0,NOV SENT OUT,2024-09-09,Original,Open,N,2024,2024.0,2025-10-06,392.0
13337,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337305,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,778.0,7359218.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13339,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15691995,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2023-01-30,2023-01-31,05/21/2023,05/07/2023,,,03/10/2023,1501.0,8272469.0,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",2023-02-01,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,429.0
13341,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,16827291,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2024-04-04,2024-04-05,04/21/2024,04/14/2024,,,,510.0,9044557.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HOT WATER TEMPERATURE EXCEEDING THE MAXIMUM ALLOWABLE OF 130 IN THE ENTIRE APARTMENT LOCATED AT APT 2J, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-04-08,19.0,VIOLATION CLOSED,2025-08-18,Original,Close,N,2024,2024.0,2025-10-06,497.0
13345,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15679161,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-24,2023-01-24,02/06/2023,01/25/2023,,,02/10/2023,670.0,8263996.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 2J, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2023-01-25,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,Y,2023,2023.0,2025-10-06,436.0
13346,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15655759,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-11,2023-01-12,02/01/2023,01/27/2023,,,,530.0,8251189.0,"§ 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''south''",2023-01-13,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,448.0
13347,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15679163,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-24,2023-01-24,02/07/2023,01/31/2023,,,02/10/2023,672.0,8264083.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BOILER ROOM,2023-01-25,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,436.0
13348,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15679162,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-24,2023-01-24,02/06/2023,01/25/2023,,,02/10/2023,666.0,8263996.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 2J, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2023-01-25,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,Y,2023,2023.0,2025-10-06,436.0
13351,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337306,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,B,2021-05-26,2021-05-26,07/15/2021,07/01/2021,,,08/19/2021,502.0,7359219.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOORS TILES AT VESTIBULE AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13353,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15655756,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,B,2023-01-11,2023-01-11,03/02/2023,02/16/2023,,,,508.0,8249305.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''south''",2023-01-12,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,449.0
13355,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15663093,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-14,2023-01-14,02/05/2023,01/31/2023,,,,530.0,8253066.0,"§ 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''middle''",2023-01-17,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,444.0
13358,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15663096,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,B,2023-01-14,2023-01-14,03/07/2023,02/21/2023,,,,508.0,8253065.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING, EAST AND WEST WALLS IN THE BATHROOM LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''middle''",2023-01-17,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,444.0
13360,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15666013,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-17,2023-01-18,02/01/2023,01/25/2023,,,02/10/2023,501.0,8257533.0,§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MORTISE LOCK AND ASSEMBLY AT BUILDING ENTRANCE DOOR,2023-01-19,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,442.0
13363,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,15691999,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2023-01-30,2023-01-31,02/14/2023,02/07/2023,,,,671.0,8272470.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT PUBLIC HALL, 1st STORY",2023-02-01,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2023,2023.0,2025-10-06,429.0
13368,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,16821086,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2024-04-05,2024-04-05,04/21/2024,04/14/2024,,,04/18/2024,510.0,9044556.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HOT SCALDING WATER EXCEEDING THE MAXIMUM TEMPERATURE OF 130F DEGREES IN THE ENTIRE APARTMENT LOCATED AT APT 1B , 1st STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''501''",2024-04-08,19.0,VIOLATION CLOSED,2025-08-18,Original,Close,N,2024,2024.0,2025-10-06,497.0
13377,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,16821085,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2024-04-05,2024-04-05,04/21/2024,04/14/2024,,,04/18/2024,672.0,9044556.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR LOCKED AT CELLAR,2024-04-08,21.0,NOT COMPLIED WITH,2025-08-11,Original,Open,N,2024,2024.0,2025-10-06,546.0
13379,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337303,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,1506.0,7359218.0,"§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13382,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,16821084,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,C,2024-04-05,2024-04-05,04/18/2024,04/06/2024,,,04/18/2024,666.0,9044364.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 1B , 1st STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''501''",2024-04-08,19.0,VIOLATION CLOSED,2025-08-18,Original,Close,Y,2024,2024.0,2025-10-06,497.0
13383,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337299,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,484.0,7359218.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13384,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337300,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,500.0,7359218.0,"§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2024-04-05,Original,Close,N,2021,2021.0,2025-10-06,1044.0
13385,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337301,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,700.0,7359218.0,"§ 27-2045 ADM CODE POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX MISSING AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13386,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337302,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,1501.0,7359218.0,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13387,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14337304,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-05-26,2021-05-26,09/13/2021,08/30/2021,,,,722.0,7359218.0,"§ 27-2053 ADM CODE POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER. AT PUBLIC HALL, 1st STORY",2021-05-27,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,721.0
13388,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14550968,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,A,2021-09-14,2021-09-14,01/02/2022,12/19/2021,,,,502.0,7476125.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE PRIVATE HALLWAY LOCATED AT APT 2M, 2nd STORY, 5th APARTMENT FROM NORTH AT EAST",2021-09-15,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,610.0
13389,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,2340.0,AMSTERDAM AVENUE,2340 AMSTERDAM AVENUE,14550969,5840,143556.0,1,2340,2340,2358,AMSTERDAM AVENUE,B,2021-09-14,2021-09-14,11/03/2021,10/20/2021,,,,598.0,7476126.0,"§ 27-2026 ADM CODE REPAIR THE BROKEN OR DEFECTIVE CONNECTION WASTELINE AT SINK IN THE KITCHEN LOCATED AT APT 2M, 2nd STORY, 5th APARTMENT FROM NORTH AT EAST",2021-09-15,19.0,VIOLATION CLOSED,2023-05-18,Original,Close,N,2021,2021.0,2025-10-06,610.0
13392,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,503 WEST 177 STREET,503.0,WEST 177 STREET,503 WEST 177 STREET,14573819,43313,109320.0,1,503,503,509,WEST 177 STREET,C,2021-09-22,2021-09-22,10/06/2021,09/29/2021,,,,506.0,7486554.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING HEAVY DUTY LOCK AND LATCH SET AT VESTIBULE DOOR. AT PUBLIC HALL, 1st STORY",2021-09-23,19.0,VIOLATION CLOSED,2024-04-17,Original,Close,N,2021,2021.0,2025-10-06,937.0
13393,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,503 WEST 177 STREET,503.0,WEST 177 STREET,503 WEST 177 STREET,14778229,43313,109320.0,1,503,503,509,WEST 177 STREET,B,2022-01-12,2022-01-14,03/08/2022,02/22/2022,,,,501.0,7607794.0,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE BELL BUZZER FROM BUILDING ENTRANCE TO APARTMENT IN THE FOYER LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2022-01-18,19.0,VIOLATION CLOSED,2024-04-17,Original,Close,N,2022,2022.0,2025-10-06,820.0
13400,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,503 WEST 177 STREET,503.0,WEST 177 STREET,503 WEST 177 STREET,14778228,43313,109320.0,1,503,503,509,WEST 177 STREET,B,2022-01-12,2022-01-14,03/08/2022,02/22/2022,,,,689.0,7607794.0,"§ 27-2005, 2006, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF HANGING WIRE IN THE FOYER LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2022-01-18,19.0,VIOLATION CLOSED,2023-04-07,Original,Close,N,2022,2022.0,2025-10-06,444.0
13401,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,503 WEST 177 STREET,503.0,WEST 177 STREET,503 WEST 177 STREET,14778230,43313,109320.0,1,503,503,509,WEST 177 STREET,C,2022-01-12,2022-01-14,02/18/2022,02/13/2022,,,,569.0,7607795.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2022-01-18,19.0,VIOLATION CLOSED,2024-06-10,Original,Close,N,2022,2022.0,2025-10-06,874.0
13407,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,511 WEST 177 STREET,511.0,WEST 177 STREET,511 WEST 177 STREET,14764967,43315,144848.0,1,511,511,513,WEST 177 STREET,B,2022-01-12,2022-01-12,03/03/2022,02/17/2022,,,,502.0,7604922.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE 1st PRIVATE HALLWAY FROM EAST LOCATED AT APT 1F, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-01-13,19.0,VIOLATION CLOSED,2023-06-18,Original,Close,N,2022,2022.0,2025-10-06,521.0
13408,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,511 WEST 177 STREET,511.0,WEST 177 STREET,511 WEST 177 STREET,15556498,43315,144848.0,1,511,511,513,WEST 177 STREET,C,2022-11-21,2022-11-21,12/04/2022,11/22/2022,,,12/08/2022,666.0,8194708.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 3G, 3rd STORY, 3rd APARTMENT FROM EAST AT SOUTH",2022-11-22,19.0,VIOLATION CLOSED,2024-05-24,Original,Close,Y,2022,2022.0,2025-10-06,549.0
13409,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,511 WEST 177 STREET,511.0,WEST 177 STREET,511 WEST 177 STREET,16344698,43315,144848.0,1,511,511,513,WEST 177 STREET,A,2023-10-29,2023-10-29,02/16/2024,02/02/2024,,,,556.0,8705770.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 3E, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-10-30,21.0,NOT COMPLIED WITH,2025-09-12,Original,Open,N,2023,2023.0,2025-10-06,707.0
13410,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,511 WEST 177 STREET,511.0,WEST 177 STREET,511 WEST 177 STREET,14785029,43315,144848.0,1,511,511,513,WEST 177 STREET,C,2022-01-23,2022-01-23,02/06/2022,01/30/2022,,,,672.0,7614754.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCK AT CELLAR,2022-01-24,19.0,VIOLATION CLOSED,2023-06-18,Original,Close,N,2022,2022.0,2025-10-06,510.0
